1  ; 9,18 ; 14,96 ; 1,00 ; 100
2  ; 5,67 ; 24,20 ; 1,62 ; 81
4  ; 3,74 ; 36,70 ; 2,45 ; 61
8  ; 2,73 ; 50,23 ; 3,36 ; 42
16 ; 2,22 ; 61,77 ; 4,13 ; 26

