1 ; 16.81 ; 8.18 ; 1.00 ; 100
2 ; 9.70 ; 14.17 ; 1.73 ; 87
4 ; 5.71 ; 24.08 ; 2.95 ; 74
8 ; 3.77 ; 36.49 ; 4.46 ; 56
16 ; 2.71 ; 50.64 ; 6.19 ; 39
