#Lignes : taille du bloc en X
#Colonnes : taille du bloc en Y

	1	2	4	8	16	32	64	128	256	512	1024
1											
2											
4							6.79	8.51	8.97		
8						3.00	2.95	2.83			
16			2.54	2.46	2.02	1.96	1.94				
32			2.59	2.31	2.27	2.28					
64			2.35	2.46	2.27						
128			2.28	2.25							
256		2.36	2.28								
512		2.38									
1023											
