T-matprod(s)		Taille du bloc en Y										
		1	2	4	8	16	32	64	128	256	512	1024
Taille du bloc en X	1											
	2											
	4			veut pas								
	8				1.972390							
	16					1.379269						
	32						1.315034					
	64											
	128											
	256											
	512											
	1024											
