1  ; 8,94 ; 15,38 ; 1,00 ; 100
2  ; 7,78 ; 17,66 ; 1,15 ; 57
4  ; 4,95 ; 27,75 ; 1,80 ; 45
8  ; 4,18 ; 32,89 ; 2,14 ; 27
16 ; 4,09 ; 33,63 ; 2,19 ; 14
