1  ; 8,95 ; 15,36 ; 1,00 ; 100
2  ; 5,89 ; 23,35 ; 1,52 ; 76
4  ; 4,25 ; 32,33 ; 2,10 ; 53
8  ; 2,94 ; 46,77 ; 3,04 ; 38
16 ; 2,43 ; 56,44 ; 3,67 ; 23
