#Colonnes : Taille du bloc en Y
#Lignes :   Taille du bloc en X

	1	2	4	8	16	32	64	128	256	512	1024
1											
2											
4							20.23	16.14	15.33		
8						45.78	46.64	48.50			
16			54.20	55.94	68.16	70.00	70.94				
32			53.00	59.50	60.42	60.27					
64			58.42	61.20	60.53						
128			60.30	61.16							
256		58.26	60.36								
512		57.77									
1023											
